instrument,horizon,feature_set,model,oos_rows,crossing_rate,ordered_share,interval_80_coverage_ordered,interval_score,baseline_interval_score,interval_score_skill,q50_spearman,q50_sign_accuracy,positive_interval_skill_fold_share,median_fold_interval_skill,q50_decile_monotonicity,q50_top_minus_bottom_median,width_abs_return_monotonicity,width_path_range_monotonicity,width_top_minus_bottom_path_range
AL,4,F3_VOL,linear_qr,2250,0.0013333333333333333,0.9986666666666667,0.8384512683578104,0.010292244982655765,0.010232257074598202,-0.005862627142791732,0.051860141655125126,0.5142222222222222,0.4,-0.0016360420270655762,0.46015733935488656,0.00039445740228650003,0.6848484848484848,0.8424242424242423,0.0009476621512248002
AL,4,F3_VOL,gbr_quantile,2250,0.0,1.0,0.8297777777777777,0.009940948038536415,0.010227903285392597,0.02805611657141971,0.03661992203448982,0.5053333333333333,1.0,0.01850766568269091,0.42334475220649564,0.00019490833863519994,0.9636363636363635,0.9757575757575757,0.0029847929346328997
AL,8,F1_DIRECTION,linear_qr,2250,0.0,1.0,0.8493333333333334,0.01480019596381493,0.014667823029171126,-0.009024715827327778,0.024848693264585196,0.49066666666666664,0.2,-0.014385761919424978,-0.09203146787097731,-0.0004107632167289,0.7818181818181817,0.41818181818181815,0.00020109364746990002
AL,8,F1_DIRECTION,gbr_quantile,2250,0.0,1.0,0.8311111111111111,0.01479516255539629,0.014667823029171126,-0.008681555945412978,0.04600328910680911,0.5128888888888888,0.6,0.006017434073662953,0.309090909090909,-5.932548182900003e-06,0.709090909090909,0.6969696969696969,0.0009258086038080003
AL,8,F2_ACTIVITY,linear_qr,2250,0.0017777777777777779,0.9982222222222222,0.8490650044523598,0.014860341222546399,0.014675211442146441,-0.012615135470435135,0.01258541326487073,0.4862222222222222,0.2,-0.013571644939302852,-0.06686960980480709,-0.000217462216797,0.6121212121212121,0.29696969696969694,0.00029009014765479964
AL,8,F2_ACTIVITY,gbr_quantile,2250,0.0,1.0,0.8315555555555556,0.01480880311036003,0.014667823029171126,-0.009611520462752043,0.04046058220530512,0.5075555555555555,0.4,-0.0017182841001899263,0.2249250511616239,-0.00022429876781050002,0.16363636363636364,0.0303030303030303,0.0007620383604952001
AL,8,F3_VOL,linear_qr,2250,0.0035555555555555557,0.9964444444444445,0.8425512934879572,0.014960876491504864,0.014671940756215975,-0.01969308219612853,0.036088230311078516,0.49733333333333335,0.2,-0.013956168054508833,0.11550205329921227,-0.00044413115692460006,0.6606060606060605,0.05454545454545454,-5.4632505467199985e-05
AL,8,F3_VOL,gbr_quantile,2250,0.0,1.0,0.8364444444444444,0.0148576670065629,0.014667823029171126,-0.012942887094711697,0.031541879709181646,0.5106666666666667,0.2,-0.007442173015899112,0.2796365500928297,-0.0002087739282389,0.3939393939393939,0.29696969696969694,0.0008563095119645996
AL,16,F1_DIRECTION,linear_qr,2250,0.003111111111111111,0.9968888888888889,0.8430673205528311,0.021822537666196695,0.02154891694953124,-0.01269765516783461,0.04527468601209958,0.5053333333333333,0.2,-0.013858002581192963,0.32121212121212117,0.0002097406345493,-0.7333333333333332,-0.4787878787878787,-7.974559005720014e-05
AL,16,F1_DIRECTION,gbr_quantile,2250,0.0,1.0,0.8306666666666667,0.021881515057320347,0.02153126033205043,-0.01626726535596923,0.00589292167215101,0.512,0.6,0.013909482053737765,0.41818181818181815,6.904588724900007e-06,-0.406060606060606,0.09118583155200968,0.00015714742326230005
AL,16,F2_ACTIVITY,linear_qr,2250,0.0026666666666666666,0.9973333333333333,0.838680926916221,0.021922614655349386,0.0215463878312901,-0.017461248122198958,0.04600320012813357,0.5226666666666666,0.2,-0.0238016427958343,0.38181818181818183,-0.00021155978677100002,-0.6121212121212121,-0.49090909090909085,-0.0002328090384090993
