scope,wf,fold,train_max_reward_end,validation_start,n_before,n_after
inner,WF1,0,2025-02-14 09:15:00,2025-02-14 09:25:00,486,480
inner,WF1,1,2025-03-24 09:15:00,2025-03-24 09:25:00,1186,1184
inner,WF1,2,2025-05-06 09:00:00,2025-05-06 09:35:00,1844,1831
inner,WF1,0,2025-02-14 09:15:00,2025-02-14 09:25:00,486,480
inner,WF1,1,2025-03-24 09:15:00,2025-03-24 09:25:00,1186,1184
inner,WF1,2,2025-05-06 09:00:00,2025-05-06 09:35:00,1844,1831
inner,WF1,0,2025-02-14 09:15:00,2025-02-14 09:25:00,486,480
inner,WF1,1,2025-03-24 09:15:00,2025-03-24 09:25:00,1186,1184
inner,WF1,2,2025-05-06 09:00:00,2025-05-06 09:35:00,1844,1831
inner,WF1,0,2025-02-14 09:15:00,2025-02-14 09:25:00,486,480
inner,WF1,1,2025-03-24 09:15:00,2025-03-24 09:25:00,1186,1184
inner,WF1,2,2025-05-06 09:00:00,2025-05-06 09:35:00,1844,1831
inner,WF1,0,2025-02-14 09:15:00,2025-02-14 09:25:00,486,480
inner,WF1,1,2025-03-24 09:15:00,2025-03-24 09:25:00,1186,1184
inner,WF1,2,2025-05-06 09:00:00,2025-05-06 09:35:00,1844,1831
inner,WF1,0,2025-02-14 09:15:00,2025-02-14 09:25:00,486,480
inner,WF1,1,2025-03-24 09:15:00,2025-03-24 09:25:00,1186,1184
inner,WF1,2,2025-05-06 09:00:00,2025-05-06 09:35:00,1844,1831
inner,WF1,0,2025-02-14 09:15:00,2025-02-14 09:25:00,486,480
inner,WF1,1,2025-03-24 09:15:00,2025-03-24 09:25:00,1186,1184
inner,WF1,2,2025-05-06 09:00:00,2025-05-06 09:35:00,1844,1831
inner,WF1,0,2025-02-14 09:15:00,2025-02-14 09:25:00,486,480
inner,WF1,1,2025-03-24 09:15:00,2025-03-24 09:25:00,1186,1184
inner,WF1,2,2025-05-06 09:00:00,2025-05-06 09:35:00,1844,1831
inner,WF1,0,2025-02-14 09:15:00,2025-02-14 09:25:00,486,480
inner,WF1,1,2025-03-24 09:15:00,2025-03-24 09:25:00,1186,1184
