system,horizon,side,n_rows,n_gids,delta_ev_gross,delta_ev_ci_low,delta_ev_ci_high,break_even_incremental_exit_cost_atr,break_even_incremental_exit_cost_ci_low,break_even_incremental_exit_cost_ci_high,has_positive_gross_cost_capacity,delta_wrong_gross,delta_wrong_gross_ci_low,delta_wrong_gross_ci_high,delta_correct_gross,delta_correct_gross_ci_low,delta_correct_gross_ci_high,wlr_gross,wlr_gross_ci_low,wlr_gross_ci_high,cpe_gross,cpe_gross_ci_low,cpe_gross_ci_high,stop_eligible_rate,stop_signal_rate,stop_executable_rate,stop_hit_rate_correct,stop_hit_rate_wrong,raw_n_correct,raw_n_wrong
A9,td1,LONG,541,40,0.051494815181871,-0.059143039591435964,0.18266362552409687,0.051494815181871,-0.059143039591435964,0.18266362552409687,True,,,,0.051494815181871,-0.059143039591435964,0.18266362552409687,,,,0.02792478742300691,0.00487110429025017,0.05991512825343723,0.9869554851229119,0.2809067583761713,0.27688541827681024,0.27688541827681024,,541,0
A9,td1,SHORT,209,39,-0.1175847048942567,-0.45321303958040865,0.16414984010292738,-0.1175847048942567,-0.45321303958040865,0.16414984010292738,False,-0.1175847048942567,-0.45321303958040865,0.16414984010292738,,,,-0.06582561286067111,-0.31278217344377596,0.17524364182188046,,,,1.0,0.24755963460725175,0.2335512617368591,,0.2335512617368591,0,209
A9,td3,LONG,541,40,1.2657380182023117,-0.37241411142317304,3.563740994099176,1.2657380182023117,-0.37241411142317304,3.563740994099176,True,,,,1.2657380182023117,-0.37241411142317304,3.563740994099176,,,,0.4032502336210278,0.1306231493265611,0.7607905374962088,0.9869554851229119,0.6667047420508653,0.6667047420508653,0.6667047420508653,,541,0
A9,td3,SHORT,209,39,-0.5308777545197108,-1.3721669091939657,0.33819389575012626,-0.5308777545197108,-1.3721669091939657,0.33819389575012626,False,-0.5308777545197108,-1.3721669091939657,0.33819389575012626,,,,-0.06540334616026813,-0.6816060127006116,0.6348841819570368,,,,1.0,0.7444425441470647,0.7444425441470647,,0.7444425441470647,0,209
A9,td5,LONG,541,40,2.0731390962518486,0.2909165817480499,4.393983593244297,2.0731390962518486,0.2909165817480499,4.393983593244297,True,,,,2.0731390962518486,0.2909165817480499,4.393983593244297,,,,0.19669371816041079,0.05738077221911715,0.4061433194399203,0.9869554851229119,0.7851702916873274,0.7851702916873274,0.7851702916873274,,541,0
A9,td5,SHORT,209,39,-2.3083072610335083,-3.7266971089663494,-0.8436331453620902,-2.3083072610335083,-3.7266971089663494,-0.8436331453620902,False,-2.3083072610335083,-3.7266971089663494,-0.8436331453620902,,,,-1.454363104852294,-2.502202275242952,-0.35716784616857755,,,,1.0,0.8390330348995392,0.8390330348995392,,0.8390330348995392,0,209
E9,td1,LONG,459,36,0.042480623879763736,-0.08170528341542385,0.19397922128032552,0.042480623879763736,-0.08170528341542385,0.19397922128032552,True,,,,0.042480623879763736,-0.08170528341542385,0.19397922128032552,,,,0.025804420318689052,0.00225237085588004,0.05990139335920313,1.0,0.23095579637789404,0.22705354184406903,0.22705354184406903,,459,0
E9,td1,SHORT,291,40,-0.40110326990833084,-1.062285776910637,0.06398726041976023,-0.40110326990833084,-1.062285776910637,0.06398726041976023,False,-0.40110326990833084,-1.062285776910637,0.06398726041976023,,,,-0.20351215317506438,-0.5666861666370882,0.098952849721913,,,,0.9809243242377976,0.2950846897815655,0.2834535447336692,,0.2834535447336692,0,291
E9,td3,LONG,459,36,1.4596165107940373,-0.48956696068523436,4.165139441037733,1.4596165107940373,-0.48956696068523436,4.165139441037733,True,,,,1.4596165107940373,-0.48956696068523436,4.165139441037733,,,,0.30783031080943757,0.08721101580800462,0.5930968999905134,1.0,0.5972279410312861,0.5972279410312861,0.5972279410312861,,459,0
E9,td3,SHORT,291,40,-0.9520444115369254,-1.764160274637796,-0.14561735753906158,-0.9520444115369254,-1.764160274637796,-0.14561735753906158,False,-0.9520444115369254,-1.764160274637796,-0.14561735753906158,,,,-0.3197581053910675,-0.8771203907916617,0.2798286689899312,,,,0.9809243242377976,0.6972103224378373,0.6972103224378373,,0.6972103224378373,0,291
E9,td5,LONG,459,36,2.121663871759869,0.04943855488880121,4.812280447692836,2.121663871759869,0.04943855488880121,4.812280447692836,True,,,,2.121663871759869,0.04943855488880121,4.812280447692836,,,,0.1656463419691755,0.031819718114446546,0.367896256156527,1.0,0.7790473386858263,0.7790473386858263,0.7790473386858263,,459,0
E9,td5,SHORT,291,40,-2.4584582209840646,-4.211786827275153,-1.0073318237820732,-2.4584582209840646,-4.211786827275153,-1.0073318237820732,False,-2.4584582209840646,-4.211786827275153,-1.0073318237820732,,,,-1.2331417612469002,-2.1132422185212656,-0.31840805838308833,,,,0.9809243242377976,0.7789252914396267,0.7789252914396267,,0.7789252914396267,0,291
