window,model,mean_joint_nll,mean_cont_nll,mean_disc_nll,mean_count_nll,n_rows
A_TB1_to_TB2,K0_UNCONDITIONAL,3.045832444543554,2.9733185259930486,0.0,0.0725139185505049,111557
A_TB1_to_TB2,K1_STATE,1.3807112331885323,1.3098143682364005,0.0,0.07089686495213156,111557
A_TB1_to_TB2,M0_STATE_AVAIL,1.3738896895068666,1.3029785566488226,0.0,0.07091113285804383,111557
A_TB1_to_TB2,MF_STATE_LAG1,1.299807223748625,1.2290540382847503,0.0,0.07075318546387473,111557
A_TB1_to_TB2,MZ_STATE_INNOV,0.9560097459076541,0.8851171459934928,0.0,0.07089259991416141,111557
A_TB1_to_TB2,MC_STATE_CURREENCODING,0.9613370222493051,0.8904755547052956,0.0,0.07086146754400961,111557
A_TB1_to_TB2,MMEM_STATE_TRUE_INNOV,1.3717278752171111,1.3007099923638137,0.0,0.07101788285329746,111557
B_TB1TB2_to_TB3,K0_UNCONDITIONAL,3.0543425100566743,2.993159875312253,0.0,0.061182634744421975,107439
B_TB1TB2_to_TB3,K1_STATE,1.412292223427112,1.3525274626812842,0.0,0.059764760745828115,107439
B_TB1TB2_to_TB3,M0_STATE_AVAIL,1.4054025921992275,1.345645693866911,0.0,0.05975689833231696,107439
B_TB1TB2_to_TB3,MF_STATE_LAG1,1.3344161873975653,1.2748039990559905,0.0,0.059612188341574876,107439
B_TB1TB2_to_TB3,MZ_STATE_INNOV,1.0336791275514023,0.9739598011920138,0.0,0.059719326359388716,107439
B_TB1TB2_to_TB3,MC_STATE_CURREENCODING,1.0374443295432418,0.9777468221407177,0.0,0.05969750740252403,107439
B_TB1TB2_to_TB3,MMEM_STATE_TRUE_INNOV,1.402255303702279,1.3424986315126484,0.0,0.05975667218963053,107439
