bar_index,time,close,oracle_position,oracle_action,oracle_delta,oracle_prev_position,oracle_transition,oracle_entry_side,penalty_bp
0,2025-07-23 11:00:00,9522.0,-1,SELL,-1,0,0->-1,SELL,80
1,2025-07-23 13:00:00,9479.0,-1,HOLD,0,-1,-1->-1,,80
2,2025-07-23 14:00:00,9492.0,-1,HOLD,0,-1,-1->-1,,80
3,2025-07-23 21:00:00,9487.0,-1,HOLD,0,-1,-1->-1,,80
4,2025-07-23 22:00:00,9482.0,-1,HOLD,0,-1,-1->-1,,80
5,2025-07-23 23:00:00,9445.0,-1,HOLD,0,-1,-1->-1,,80
6,2025-07-24 00:00:00,9417.0,-1,HOLD,0,-1,-1->-1,,80
7,2025-07-24 01:00:00,9431.0,-1,HOLD,0,-1,-1->-1,,80
8,2025-07-24 02:00:00,9431.0,-1,HOLD,0,-1,-1->-1,,80
9,2025-07-24 09:00:00,9387.0,-1,HOLD,0,-1,-1->-1,,80
10,2025-07-24 10:00:00,9378.0,-1,HOLD,0,-1,-1->-1,,80
11,2025-07-24 11:00:00,9302.0,-1,HOLD,0,-1,-1->-1,,80
12,2025-07-24 13:00:00,9350.0,-1,HOLD,0,-1,-1->-1,,80
13,2025-07-24 14:00:00,9386.0,-1,HOLD,0,-1,-1->-1,,80
14,2025-07-24 21:00:00,9363.0,-1,HOLD,0,-1,-1->-1,,80
15,2025-07-24 22:00:00,9365.0,-1,HOLD,0,-1,-1->-1,,80
16,2025-07-24 23:00:00,9361.0,-1,HOLD,0,-1,-1->-1,,80
17,2025-07-25 00:00:00,9349.0,-1,HOLD,0,-1,-1->-1,,80
18,2025-07-25 01:00:00,9371.0,-1,HOLD,0,-1,-1->-1,,80
19,2025-07-25 02:00:00,9369.0,-1,HOLD,0,-1,-1->-1,,80
20,2025-07-25 09:00:00,9439.0,-1,HOLD,0,-1,-1->-1,,80
21,2025-07-25 10:00:00,9400.0,-1,HOLD,0,-1,-1->-1,,80
22,2025-07-25 11:00:00,9385.0,-1,HOLD,0,-1,-1->-1,,80
23,2025-07-25 13:00:00,9374.0,-1,HOLD,0,-1,-1->-1,,80
24,2025-07-25 14:00:00,9392.0,-1,HOLD,0,-1,-1->-1,,80
25,2025-07-25 21:00:00,9346.0,-1,HOLD,0,-1,-1->-1,,80
26,2025-07-25 22:00:00,9219.0,-1,HOLD,0,-1,-1->-1,,80
27,2025-07-25 23:00:00,9151.0,-1,HOLD,0,-1,-1->-1,,80
28,2025-07-26 00:00:00,9161.0,-1,HOLD,0,-1,-1->-1,,80
29,2025-07-26 01:00:00,9172.0,-1,HOLD,0,-1,-1->-1,,80
30,2025-07-26 02:00:00,9169.0,-1,HOLD,0,-1,-1->-1,,80
31,2025-07-28 09:00:00,9185.0,-1,HOLD,0,-1,-1->-1,,80
32,2025-07-28 10:00:00,9204.0,-1,HOLD,0,-1,-1->-1,,80
33,2025-07-28 11:00:00,9186.0,-1,HOLD,0,-1,-1->-1,,80
34,2025-07-28 13:00:00,9200.0,-1,HOLD,0,-1,-1->-1,,80
35,2025-07-28 14:00:00,9212.0,-1,HOLD,0,-1,-1->-1,,80
36,2025-07-28 21:00:00,9155.0,-1,HOLD,0,-1,-1->-1,,80
37,2025-07-28 22:00:00,9187.0,-1,HOLD,0,-1,-1->-1,,80
38,2025-07-28 23:00:00,9209.0,-1,HOLD,0,-1,-1->-1,,80
39,2025-07-29 00:00:00,9199.0,-1,HOLD,0,-1,-1->-1,,80
40,2025-07-29 01:00:00,9193.0,-1,HOLD,0,-1,-1->-1,,80
41,2025-07-29 02:00:00,9200.0,-1,HOLD,0,-1,-1->-1,,80
42,2025-07-29 09:00:00,9187.0,-1,HOLD,0,-1,-1->-1,,80
43,2025-07-29 10:00:00,9204.0,-1,HOLD,0,-1,-1->-1,,80
44,2025-07-29 11:00:00,9202.0,-1,HOLD,0,-1,-1->-1,,80
45,2025-07-29 13:00:00,9204.0,-1,HOLD,0,-1,-1->-1,,80
46,2025-07-29 14:00:00,9195.0,-1,HOLD,0,-1,-1->-1,,80
47,2025-07-29 21:00:00,9207.0,-1,HOLD,0,-1,-1->-1,,80
48,2025-07-29 22:00:00,9222.0,-1,HOLD,0,-1,-1->-1,,80
49,2025-07-29 23:00:00,9220.0,-1,HOLD,0,-1,-1->-1,,80
50,2025-07-30 00:00:00,9219.0,-1,HOLD,0,-1,-1->-1,,80
51,2025-07-30 01:00:00,9234.0,-1,HOLD,0,-1,-1->-1,,80
52,2025-07-30 02:00:00,9234.0,-1,HOLD,0,-1,-1->-1,,80
53,2025-07-30 09:00:00,9198.0,-1,HOLD,0,-1,-1->-1,,80
54,2025-07-30 10:00:00,9219.0,-1,HOLD,0,-1,-1->-1,,80
55,2025-07-30 11:00:00,9215.0,-1,HOLD,0,-1,-1->-1,,80
56,2025-07-30 13:00:00,9203.0,-1,HOLD,0,-1,-1->-1,,80
57,2025-07-30 14:00:00,9192.0,-1,HOLD,0,-1,-1->-1,,80
58,2025-07-30 21:00:00,9110.0,-1,HOLD,0,-1,-1->-1,,80
59,2025-07-30 22:00:00,9111.0,-1,HOLD,0,-1,-1->-1,,80
60,2025-07-30 23:00:00,9094.0,-1,HOLD,0,-1,-1->-1,,80
61,2025-07-31 00:00:00,9116.0,-1,HOLD,0,-1,-1->-1,,80
62,2025-07-31 01:00:00,9117.0,-1,HOLD,0,-1,-1->-1,,80
63,2025-07-31 02:00:00,9090.0,-1,HOLD,0,-1,-1->-1,,80
64,2025-07-31 09:00:00,8972.0,-1,HOLD,0,-1,-1->-1,,80
65,2025-07-31 10:00:00,9005.0,-1,HOLD,0,-1,-1->-1,,80
66,2025-07-31 11:00:00,9016.0,-1,HOLD,0,-1,-1->-1,,80
67,2025-07-31 13:00:00,9020.0,-1,HOLD,0,-1,-1->-1,,80
68,2025-07-31 14:00:00,9008.0,-1,HOLD,0,-1,-1->-1,,80
69,2025-07-31 21:00:00,8920.0,-1,HOLD,0,-1,-1->-1,,80
70,2025-07-31 22:00:00,8909.0,-1,HOLD,0,-1,-1->-1,,80
71,2025-07-31 23:00:00,8930.0,-1,HOLD,0,-1,-1->-1,,80
72,2025-08-01 00:00:00,8926.0,-1,HOLD,0,-1,-1->-1,,80
73,2025-08-01 01:00:00,8927.0,-1,HOLD,0,-1,-1->-1,,80
74,2025-08-01 02:00:00,8935.0,-1,HOLD,0,-1,-1->-1,,80
75,2025-08-01 09:00:00,8901.0,1,BUY,2,-1,-1->1,BUY,80
76,2025-08-01 10:00:00,8913.0,1,HOLD,0,1,1->1,,80
77,2025-08-01 11:00:00,8911.0,1,HOLD,0,1,1->1,,80
78,2025-08-01 13:00:00,8937.0,1,HOLD,0,1,1->1,,80
79,2025-08-01 14:00:00,8918.0,1,HOLD,0,1,1->1,,80
80,2025-08-01 21:00:00,8992.0,1,HOLD,0,1,1->1,,80
81,2025-08-01 22:00:00,8994.0,1,HOLD,0,1,1->1,,80
82,2025-08-01 23:00:00,8998.0,1,HOLD,0,1,1->1,,80
83,2025-08-02 00:00:00,8991.0,1,HOLD,0,1,1->1,,80
84,2025-08-02 01:00:00,8992.0,1,HOLD,0,1,1->1,,80
85,2025-08-02 02:00:00,8994.0,1,HOLD,0,1,1->1,,80
86,2025-08-04 09:00:00,8975.0,1,HOLD,0,1,1->1,,80
87,2025-08-04 10:00:00,9011.0,1,HOLD,0,1,1->1,,80
88,2025-08-04 11:00:00,9017.0,1,HOLD,0,1,1->1,,80
89,2025-08-04 13:00:00,9025.0,1,HOLD,0,1,1->1,,80
90,2025-08-04 14:00:00,9039.0,1,HOLD,0,1,1->1,,80
91,2025-08-04 21:00:00,9065.0,1,HOLD,0,1,1->1,,80
92,2025-08-04 22:00:00,9074.0,1,HOLD,0,1,1->1,,80
93,2025-08-04 23:00:00,9076.0,1,HOLD,0,1,1->1,,80
94,2025-08-05 00:00:00,9066.0,1,HOLD,0,1,1->1,,80
95,2025-08-05 01:00:00,9069.0,1,HOLD,0,1,1->1,,80
96,2025-08-05 02:00:00,9067.0,1,HOLD,0,1,1->1,,80
97,2025-08-05 09:00:00,9085.0,1,HOLD,0,1,1->1,,80
98,2025-08-05 10:00:00,9095.0,1,HOLD,0,1,1->1,,80
99,2025-08-05 11:00:00,9084.0,1,HOLD,0,1,1->1,,80
100,2025-08-05 13:00:00,9100.0,1,HOLD,0,1,1->1,,80
101,2025-08-05 14:00:00,9075.0,1,HOLD,0,1,1->1,,80
102,2025-08-05 21:00:00,9116.0,1,HOLD,0,1,1->1,,80
103,2025-08-05 22:00:00,9174.0,1,HOLD,0,1,1->1,,80
104,2025-08-05 23:00:00,9178.0,1,HOLD,0,1,1->1,,80
105,2025-08-06 00:00:00,9173.0,1,HOLD,0,1,1->1,,80
106,2025-08-06 01:00:00,9178.0,1,HOLD,0,1,1->1,,80
107,2025-08-06 02:00:00,9178.0,1,HOLD,0,1,1->1,,80
108,2025-08-06 09:00:00,9189.0,1,HOLD,0,1,1->1,,80
109,2025-08-06 10:00:00,9181.0,1,HOLD,0,1,1->1,,80
110,2025-08-06 11:00:00,9192.0,1,HOLD,0,1,1->1,,80
111,2025-08-06 13:00:00,9187.0,1,HOLD,0,1,1->1,,80
112,2025-08-06 14:00:00,9182.0,1,HOLD,0,1,1->1,,80
113,2025-08-06 21:00:00,9186.0,1,HOLD,0,1,1->1,,80
114,2025-08-06 22:00:00,9201.0,1,HOLD,0,1,1->1,,80
115,2025-08-06 23:00:00,9189.0,1,HOLD,0,1,1->1,,80
116,2025-08-07 00:00:00,9185.0,1,HOLD,0,1,1->1,,80
117,2025-08-07 01:00:00,9192.0,1,HOLD,0,1,1->1,,80
118,2025-08-07 02:00:00,9180.0,1,HOLD,0,1,1->1,,80
119,2025-08-07 09:00:00,9212.0,1,HOLD,0,1,1->1,,80
120,2025-08-07 10:00:00,9217.0,1,HOLD,0,1,1->1,,80
121,2025-08-07 11:00:00,9224.0,1,HOLD,0,1,1->1,,80
122,2025-08-07 13:00:00,9233.0,1,HOLD,0,1,1->1,,80
123,2025-08-07 14:00:00,9258.0,1,HOLD,0,1,1->1,,80
124,2025-08-07 21:00:00,9295.0,1,HOLD,0,1,1->1,,80
125,2025-08-07 22:00:00,9263.0,1,HOLD,0,1,1->1,,80
126,2025-08-07 23:00:00,9270.0,1,HOLD,0,1,1->1,,80
127,2025-08-08 00:00:00,9260.0,1,HOLD,0,1,1->1,,80
128,2025-08-08 01:00:00,9256.0,1,HOLD,0,1,1->1,,80
129,2025-08-08 02:00:00,9241.0,1,HOLD,0,1,1->1,,80
130,2025-08-08 09:00:00,9266.0,1,HOLD,0,1,1->1,,80
131,2025-08-08 10:00:00,9267.0,1,HOLD,0,1,1->1,,80
132,2025-08-08 11:00:00,9261.0,1,HOLD,0,1,1->1,,80
133,2025-08-08 13:00:00,9272.0,1,HOLD,0,1,1->1,,80
134,2025-08-08 14:00:00,9278.0,1,HOLD,0,1,1->1,,80
135,2025-08-08 21:00:00,9287.0,1,HOLD,0,1,1->1,,80
136,2025-08-08 22:00:00,9271.0,1,HOLD,0,1,1->1,,80
137,2025-08-08 23:00:00,9265.0,1,HOLD,0,1,1->1,,80
138,2025-08-09 00:00:00,9267.0,1,HOLD,0,1,1->1,,80
139,2025-08-09 01:00:00,9245.0,1,HOLD,0,1,1->1,,80
140,2025-08-09 02:00:00,9279.0,1,HOLD,0,1,1->1,,80
141,2025-08-11 09:00:00,9217.0,1,HOLD,0,1,1->1,,80
